year,artist,song,popularity
2002,Eminem,"Without Me",87
2000,Eminem,"The Real Slim Shady",86
2002,Eminem,"'Till I Collapse",85
2000,"Linkin Park","In the End",83
2000,Eminem,Stan,83
2000,"Linkin Park","In the End",83
1999,"Dr. Dre","The Next Episode",82
2000,Outkast,"Ms. Jackson",82
2005,Gorillaz,"Feel Good Inc.",82
2005,Shakira,"Hips Don't Lie (feat. Wyclef Jean)",82
2006,"Nelly Furtado",Promiscuous,82
2008,"Kanye West",Heartless,82
2009,JAY-Z,"Empire State Of Mind",82
2011,Coldplay,Paradise,82
2003,"50 Cent","In Da Club",81
2004,Usher,"Yeah! (feat. Lil Jon & Ludacris)",81
2003,"Britney Spears",Toxic,81
2003,"Linkin Park",Numb,81
2008,Rihanna,Umbrella,81
2006,"Nelly Furtado","Say It Right",81
2010,Eminem,"Love The Way You Lie",81
2010,"Justin Bieber",Baby,81
2011,Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",81
2011,"Gym Class Heroes","Stereo Hearts (feat. Adam Levine)",81
2002,"Red Hot Chili Peppers","Can't Stop",80
2003,Outkast,"Hey Ya!",80
2004,"Kanye West","All Falls Down",80
2007,Timbaland,"The Way I Are",80
2006,"My Chemical Romance",Teenagers,80
2008,"Flo Rida","Low (feat. T-Pain)",80
2008,Coldplay,"Viva La Vida",80
2008,"Kings of Leon","Sex on Fire",80
2009,"Black Eyed Peas","I Gotta Feeling",80
2009,"Lady Gaga","Bad Romance",80
2008,"Kings of Leon","Sex on Fire",80
2009,"Lady Gaga","Bad Romance",80
2010,Kesha,"TiK ToK",80
2010,"Taio Cruz",Dynamite,80
1999,blink-182,"All The Small Things",79
1999,"Dr. Dre","Forgot About Dre",79
2002,Coldplay,Clocks,79
2003,Evanescence,"Bring Me To Life",79
2002,Coldplay,Clocks,79
2003,Hoobastank,"The Reason",79
2005,"50 Cent","Candy Shop",79
2006,"Nelly Furtado",Maneater,79
2005,"The Fray","How to Save a Life",79
2007,"Britney Spears","Gimme More",79
2006,"Red Hot Chili Peppers","Snow (Hey Oh)",79
2009,"Miley Cyrus","Party In The U.S.A.",79
2010,Eminem,"Not Afraid",79
2010,Usher,"DJ Got Us Fallin' In Love (feat. Pitbull)",79
2011,"Jennifer Lopez","On The Floor",79
2011,"Selena Gomez & The Scene","Love You Like A Love Song",79
2000,"Bon Jovi","It's My Life",78
1999,"Red Hot Chili Peppers",Otherside,78
2000,"3 Doors Down",Kryptonite,78
2001,"Jimmy Eat World","The Middle",78
2001,Nickelback,"How You Remind Me",78
2002,"Avril Lavigne",Complicated,78
2005,"Kanye West","Gold Digger",78
2005,"Sean Paul",Temperature,78
2006,"Justin Timberlake","SexyBack (feat. Timbaland)",78
2005,"Plain White T's","Hey There Delilah",78
2007,"Foo Fighters","The Pretender",78
2007,"Sean Kingston","Beautiful Girls",78
2008,"The Offspring","You're Gonna Go Far, Kid",78
2008,Estelle,"American Boy",78
2009,"Owl City",Fireflies,78
2010,"Bruno Mars",Grenade,78
2010,Miguel,"Sure Thing",78
2000,"Britney Spears","Oops!...I Did It Again",77
2001,Modjo,"Lady - Hear Me Tonight",77
2001,Train,"Drops of Jupiter (Tell Me)",77
2002,Nelly,Dilemma,77
2004,Eminem,"Lose Yourself - From "8 Mile"" Soundtrack"",77
2002,"Maroon 5","This Love",77
2004,"Franz Ferdinand","Take Me Out",77
2004,"Green Day","American Idiot",77
2005,Rihanna,"Pon de Replay",77
2005,"The Game","Hate It Or Love It",77
2004,Eminem,Mockingbird,77
2007,"Linkin Park","What I've Done",77
2007,"Alicia Keys","No One",77
2008,Rihanna,"Don't Stop The Music",77
2007,MGMT,Kids,77
2008,"Lady Gaga","Poker Face",77
2008,"Empire of the Sun","Walking On A Dream",77
2010,"Bruno Mars","Just the Way You Are",77
2010,Stromae,"Alors on danse - Radio Edit",77
2010,"Maroon 5","Moves Like Jagger - Studio Recording From "The Voice"" Performance"",77
2011,"The Wanted","Glad You Came",77
2000,Shaggy,"It Wasn't Me",76
2001,"Mary J. Blige","Family Affair",76
2001,"Daft Punk","One More Time",76
2003,BeyoncÃ©,"Crazy In Love (feat. Jay-Z)",76
2003,"50 Cent",P.I.M.P.,76
2002,"Justin Timberlake","Rock Your Body",76
2004,"Kanye West","Through The Wire",76
2004,Usher,"My Boo",76
2005,"50 Cent","Just A Lil Bit",76
2004,JAY-Z,"Numb / Encore",76
2005,"Foo Fighters","Best of You",76
2006,"Red Hot Chili Peppers","Dani California",76
2006,"My Chemical Romance","Welcome to the Black Parade",76
2006,Fergie,"Big Girls Don't Cry (Personal)",76
2007,"Fall Out Boy","Thnks fr th Mmrs",76
2007,"All Time Low","Dear Maria, Count Me In",76
2006,"Amy Winehouse","Back To Black",76
2005,"Carrie Underwood","Before He Cheats",76
2008,Rihanna,Disturbia,76
2008,"Britney Spears",Womanizer,76
2008,P!nk,"So What",76
2008,"Lady Gaga","Just Dance",76
2008,"Soulja Boy","Kiss Me Thru The Phone",76
2010,"David Guetta","Memories (feat. Kid Cudi)",76
2010,"Flo Rida","Club Can't Handle Me (feat. David Guetta)",76
2010,"Bruno Mars","Talking to the Moon",76
2010,"Black Eyed Peas","Just Canâ€™t Get Enough",76
2010,"Waka Flocka Flame","No Hands (feat. Roscoe Dash & Wale)",76
2011,M83,"Midnight City",76
2010,"Kanye West","All Of The Lights",76
2011,"Selena Gomez & The Scene","Who Says",76
1999,"Destiny's Child","Say My Name",75
2001,"Alien Ant Farm","Smooth Criminal",75
2000,Nelly,"Ride Wit Me",75
2002,"Vanessa Carlton","A Thousand Miles",75
2002,Nelly,"Hot In Herre",75
2002,"Avril Lavigne","Sk8er Boi",75
2002,Audioslave,"Like a Stone",75
2005,"James Blunt","You're Beautiful",75
2005,"Black Eyed Peas","Pump It",75
2006,Muse,"Supermassive Black Hole",75
2006,Ne-Yo,"So Sick",75
2007,"Leona Lewis","Bleeding Love",75
2007,"Avril Lavigne",Girlfriend,75
2008,"Kardinal Offishall",Dangerous,75
2008,T.I.,"Live Your Life",75
2010,"David Guetta","Sexy Bitch (feat. Akon)",75
2009,Skillet,Monster,75
2009,JAY-Z,"Run This Town",75
2008,T.I.,"Live Your Life",75
2009,Muse,Uprising,75
2009,Iyaz,Replay,75
2010,"Mike Posner","Cooler Than Me - Single Mix",75
2011,"Wiz Khalifa","Black and Yellow",75
2011,Rihanna,"We Found Love",75
2001,Shakira,"Whenever, Wherever",74
2001,Gorillaz,"Clint Eastwood",74
2002,"Sean Paul","Get Busy",74
2003,"The Strokes",Reptilia,74
2002,"3 Doors Down","Here Without You",74
2005,"Daniel Powter","Bad Day",74
2005,Madonna,"Hung Up",74
2005,"The Game","How We Do",74
2005,"Thirty Seconds To Mars","The Kill",74
2006,"Gnarls Barkley",Crazy,74
2005,Eminem,"Shake That",74
2005,"Fall Out Boy","Dance, Dance",74
2007,"Soulja Boy","Crank That (Soulja Boy)",74
2007,Ne-Yo,"Because Of You",74
2006,"The Red Jumpsuit Apparatus","Face Down",74
2008,Rihanna,"Take A Bow",74
2007,Timbaland,Apologize,74
2007,"Soulja Boy","Crank That (Soulja Boy)",74
2008,T.I.,"Whatever You Like",74
2008,"Chris Brown",Forever,74
2008,BeyoncÃ©,Halo,74
2009,"Flo Rida","Right Round",74
2008,"Taylor Swift","Love Story",74
2008,"Britney Spears",Circus,74
2008,T.I.,"Whatever You Like",74
2009,OneRepublic,Secrets,74
2010,"Taio Cruz","Break Your Heart",74
2009,Rihanna,"Rude Boy",74
2010,"Sean Kingston","Eenie Meenie",74
2010,B.o.B,"Airplanes (feat. Hayley Williams of Paramore)",74
2010,B.o.B,"Nothin' on You (feat. Bruno Mars)",74
2012,"Katy Perry","Last Friday Night (T.G.I.F.)",74
2011,"Avril Lavigne","What the Hell",74
2000,"Alice Deejay","Better Off Alone",73
2001,"Kylie Minogue","Can't Get You out of My Head",73
2000,"Limp Bizkit","Rollin' (Air Raid Vehicle)",73
2001,Eve,"Let Me Blow Ya Mind",73
1999,Dido,"Thank You",73
2001,"Fat Joe","What's Luv? (feat. Ja-Rule & Ashanti)",73
2001,"Ja Rule","Always On Time",73
2002,"Red Hot Chili Peppers","By the Way",73
2003,"Baby Bash","Suga Suga",73
2002,"Justin Timberlake","Cry Me a River",73
2004,D12,"My Band",73
2003,"Baby Bash","Suga Suga",73
2004,"Kanye West","Jesus Walks",73
2005,"Fort Minor","Remember the Name (feat. Styles of Beyond)",73
2005,Gorillaz,DARE,73
2006,Rihanna,SOS,73
2006,Cassie,"Me & U",73
2005,"Kanye West","Touch The Sky",73
2006,"The Kooks",Naive,73
2007,"Alex Gaudino","Destination Calabria - Radio Edit",73
2007,"Finger Eleven",Paralyzer,73
2007,Seether,"Fake It",73
2007,"Linkin Park","Bleed It Out",73
2008,"Katy Perry","I Kissed A Girl",73
2008,"Katy Perry","Hot N Cold",73
2007,"Finger Eleven",Paralyzer,73
2009,Drake,Forever,73
2009,"Green Day","21 Guns",73
2009,"The Fray","You Found Me",73
2010,Rihanna,"Only Girl (In The World)",73
2010,"Far East Movement","Like A G6",73
2010,Usher,"OMG (feat. will.i.am)",73
2010,Nelly,"Just A Dream",73
2010,"Lady A","Need You Now",73
2011,LMFAO,"Party Rock Anthem",73
2010,Rihanna,S&M,73
